tractID,WeAvGMT1wT2w,t1wt2w,GM_R1,R1
AFL,1.1733670854627536,0.7493779357570773,0.4506013470316097,0.4438550642933112
AFR,1.2326130990045858,0.7378874012873712,0.449625242371626,0.4444166014232186
ATRL,1.1551452258590682,1.039407598047268,0.4514518975030999,0.5042981884611548
ATRR,1.1837264385652653,1.0314690162271432,0.4502296540111002,0.5040681866304554
CCL,1.2261819878321991,0.7540185050844086,0.4530688388284932,0.4255193341198616
CCR,1.2072297759683857,0.7430996826707277,0.4569972723924182,0.4344923303141359
CSL,1.3478001241713622,1.4268339413003626,0.4815226961807517,0.5505525008363616
CSR,1.3620689137973436,1.3867672728714695,0.4793941421977542,0.5514956735335836
FcMa,1.1677269374526016,0.7667047786422876,0.4537184896093086,0.4392282904297341
FcMi,1.1683052929462916,0.6622350006245029,0.4455761547596747,0.4091193296955071
IFOFL,1.171188601610481,0.728368464326128,0.4542657908983681,0.461062232595283
IFOFR,1.1866165109574822,0.7387507459625319,0.4593369441854089,0.4630063513890903
ILFL,1.148710261186734,0.6708041594240088,0.4539156423455471,0.4384689348586278
ILFR,1.1681485009215775,0.6991133077445623,0.4573856254586383,0.4439813283499899
MLFL,1.1131116545086894,0.705507695634353,0.4465392944530631,0.4451483982869083
MLFR,1.1671016001201633,0.7351932356188571,0.4482625455047603,0.445878498366302
ORL,1.2841484056706676,0.8999256857302778,0.478247938016356,0.4610133665304567
ORR,1.3075762269566895,0.9290182400905368,0.482107311230504,0.4628352453392627
SLFL,1.2360894641751858,0.7265575704915128,0.4581606777998332,0.4612911306336693
SLFR,1.2537700233111395,0.7298317665748,0.4546682891311751,0.4549168373326196
UNCL,1.1437817284338485,0.7762752327646788,0.4458582792476143,0.4640888156871713
UNCR,1.2053860188543393,0.7669238655448642,0.4471319125060057,0.4578856190342097
VOFL,1.1602398796319429,0.5583035640908817,0.4594949589869681,0.4427522373824862
VOFR,1.2085124389734692,0.5748846397869731,0.4663359246172263,0.4514547834665924
pAFL,1.0856915544920829,0.5171719157145648,0.4486505441550762,0.4185956969933042
pAFR,1.0936132766954312,0.5301543796557378,0.4521545811088901,0.4227943317685248
