tractID,GM_R1,R1
AFL,0.45060134703160976,0.4438550642933112
AFR,0.449625242371626,0.4444166014232186
ATRL,0.45145189750309994,0.5042981884611548
ATRR,0.45022965401110027,0.5040681866304554
CCL,0.4530688388284932,0.4255193341198616
CCR,0.4569972723924182,0.4344923303141359
CSL,0.4815226961807517,0.5505525008363616
CSR,0.4793941421977542,0.5514956735335836
FcMa,0.4537184896093086,0.4392282904297341
FcMi,0.44557615475967477,0.4091193296955071
IFOFL,0.45426579089836816,0.46106223259528306
IFOFR,0.45933694418540894,0.46300635138909035
ILFL,0.45391564234554715,0.43846893485862787
ILFR,0.45738562545863837,0.44398132834998993
MLFL,0.4465392944530631,0.44514839828690833
MLFR,0.44826254550476036,0.44587849836630206
ORL,0.47824793801635607,0.4610133665304567
ORR,0.482107311230504,0.4628352453392627
SLFL,0.4581606777998332,0.46129113063366933
SLFR,0.45466828913117513,0.4549168373326196
UNCL,0.44585827924761434,0.46408881568717136
UNCR,0.4471319125060057,0.4578856190342097
VOFL,0.4594949589869681,0.44275223738248626
VOFR,0.46633592461722634,0.4514547834665924
pAFL,0.44865054415507627,0.4185956969933042
pAFR,0.4521545811088901,0.4227943317685248
