tractID,coeff_T1wT2wWM,coeff_T1wT2wGM,coeff_GM,coeff
AFL,0.0221168360463733,0.0226749994064602,0.0028539167016909,0.0046657647287064
AFR,0.0238494046686514,0.0263929220350867,0.0029579255324446,0.0038394658390912
ATRL,0.0345509620044128,0.021880717354239,0.0010959246709479,-9.68982788558271e-05
ATRR,0.0420816847114968,0.0237285560415683,0.0015481237729076,0.001376099560834
CCL,0.0100185312593452,0.0229618442488664,0.0025282118376743,0.003159535156632
CCR,0.0100441334270818,0.0185805133991326,0.002529282107597,0.0008125783757744
CSL,0.0512356264788501,0.0356705061581039,0.0037250832452617,0.0054179679433984
CSR,0.0573346986335443,0.0348150188260421,0.0036723697305989,0.0056120234238407
FcMi,0.0376806552427103,0.0222391874540561,0.0013545389669061,0.0021878931533899
FcMa,0.0209509132156105,0.0296537228403163,0.0052547836446738,0.0030762223358487
IFOFL,0.0370891970048775,0.0241103848986509,0.002642757204565,0.0031284249326361
IFOFR,0.0433490090715408,0.0211382930094604,0.0022850191470597,0.0028151450649537
ILFL,0.0331925860998452,0.0202145082286704,0.0036178061785206,0.0051416676294154
ILFR,0.0355803939293595,0.0150305825684671,0.0037835394074728,0.0050050756469361
MLFL,0.0301750561862503,0.0165759018070515,0.0038355263492736,0.0051817660987141
MLFR,0.0364288921803585,0.0169418527909208,0.0032255952061593,0.0047287765855341
ORL,0.0389521271037936,0.0254680711042864,0.0031220727332458,0.0055812253061848
ORR,0.047035807737081,0.0269436988548269,0.0037325793800766,0.006874024355325
SLFL,0.0271649712525201,0.0254219012916189,0.0036328951869905,0.0052761735189563
SLFR,0.0248629195944496,0.0281477559261572,0.0028712501901208,0.004499862899218
UNCL,0.0265677067550819,0.0192379417420432,0.0030141783592205,0.002059435918304
UNCR,0.0309353232551944,0.0205096928438787,0.002059444407501,0.0024863597522956
VOFL,0.013246865258032,0.0189091716300734,0.0033421284095788,0.0040351208033461
VOFR,0.015622010951206,0.0264232839440333,0.0039189880852836,0.0043251284442247
pAFL,0.017915793666244,0.0198296902275428,0.0032160368682422,0.0051467782675864
pAFR,0.0174497645154203,0.0233030177324993,0.0030226524005994,0.0043977856426831
