Tract,r_WM,p_WM,r2_WM,r_GM,p_GM,r2_GM
AF,0.7176949800687067,1.7186582332176644e-44,0.5150860844158213,0.8094341026973481,1.3158547920176915e-64,0.655183566609461
ATR,0.8281196788426357,4.3752864390392514e-70,0.6857822024864301,0.6592422244589133,2.0330272284746869e-35,0.4346003105095363
CC,0.6868113774206068,1.9754996307070214e-39,0.47170986815439125,0.7795640601043161,5.302052886181944e-57,0.6077201238063258
CS,0.8784394139322675,6.757956757224986e-89,0.7716558039496657,0.8364094306402513,9.864369080898103e-73,0.6995807356639494
FcMi,0.7761492754077507,3.295417045099086e-56,0.6024076977159765,0.664763416322597,3.4576706695590666e-36,0.44191039968089035
FcMa,0.7370574047884078,5.03737437346431e-48,0.5432536179534228,0.6238134418704567,7.626529023981168e-31,0.3891432102582657
IFOF,0.8375085816995109,4.2854316168395216e-73,0.7014206244203264,0.7288385169677263,1.7344025508215975e-46,0.5312055838157146
ILF,0.815067962143538,3.413458472042649e-66,0.66433578291282,0.7689036947641541,1.4320529889674217e-54,0.5912128918219675
MLF,0.8221869132489088,2.8167631515475976e-68,0.6759913203177687,0.7626827562671841,3.275607773347233e-53,0.581684986707309
OR,0.8285274638463485,3.266933043162199e-70,0.6864577583476622,0.7004533729831164,1.3819447296834058e-41,0.49063492772342476
pARC,0.6939155682538569,1.543025776633435e-40,0.48151881586507317,0.7435971336527364,2.7380582029746844e-49,0.5529366971765655
SLF,0.7608019254380505,8.280795743658515e-53,0.578819569750245,0.8217937111000936,3.691832423077204e-68,0.6753449036036641
UNC,0.850856429776153,1.0162807293213974e-77,0.7239566640914215,0.7900327240654883,1.5873112798401214e-59,0.6241517050943359
VOF,0.7401870440478072,1.2638565548725593e-48,0.5478768601762305,0.685065793208524,3.6552255644507846e-39,0.4693151410244242
